game_id,period,game_event_id,possession_event_id,player_id,shirt_number,possession_event_type,position_group_type,team_id,home_team,touches,duration,ball_visibility,ball_x_start,ball_y_start,ball_z,start_frame,end_frame,formatted_game_clock,frame_num,ball_x_end,ball_y_end,shooterPlayer,shooterPlayerName,blockerPlayer,clearerPlayer,saverPlayer,shotBodyType,shotNatureType,shotOutcomeType,shotInitialHeightType,team_id_player_201,shirt_number_player_201,visibility_player_201,confidence_player_201,x_player_201,y_player_201,vx_player_201,vy_player_201,vtot_player_201,ax_player_201,ay_player_201,atot_player_201
4440,2,4472231,4288397.0,5076.0,17.0,SH,CF,119.0,False,2.0,1.066,ESTIMATED,25.306,-2.713,0.54,119564,119596,61:41,119564.0,26.867,-1.679,5076,Ivan Toney,,,201,L,A,G,BOTTOMTHIRD,9.0,1,VISIBLE,HIGH,49.667,-1.086,0.47999999999994714,-0.5400000000000005,0.722495674727503,-0.9000000000042974,0.9000000000001007,1.2727922061388954
4440,2,4472609,4288777.0,2069.0,3.0,SH,RCB,9.0,True,1.0,0.0,ESTIMATED,-42.121,-9.113,1.3900000000000001,128363,128363,66:34,128363.0,-42.121,-9.113,2069,Wesley Fofana,,,,HE,A,O,MIDDLETHIRD,9.0,1,ESTIMATED,LOW,25.047,-0.796,0.14999999999997016,-0.15000000000000013,0.21213203435594324,-3.197442310920451e-12,0.0,3.197442310920451e-12
4440,2,4473286,4289415.0,4358.0,11.0,SH,LW,119.0,False,4.0,2.6,VISIBLE,4.497,4.604,0.0,140041,140119,73:05,140041.0,13.962,6.55,4358,Yoane Wissa,,,,R,P,O,O,9.0,1,ESTIMATED,LOW,44.022,1.6520000000000001,2.1599999999998687,0.7800000000000074,2.2965191050804354,-0.9000000000042974,-0.899999999999701,1.2727922061386128
4440,2,4474017,4290088.0,5076.0,17.0,SH,CF,119.0,False,1.0,0.0,ESTIMATED,23.232,-7.359,1.44,146731,146731,76:46,146731.0,23.232,-7.359,5076,Ivan Toney,,,,HE,A,O,MIDDLETHIRD,9.0,1,VISIBLE,HIGH,49.935,0.88,1.2600000000000477,0.9600000000000009,1.5840454538933288,0.0,9.992007221626409e-14,9.992007221626409e-14
4440,2,4475004,4291019.0,5078.0,21.0,SH,F,119.0,False,2.0,1.167,ESTIMATED,16.934,6.116,1.01,161673,161708,85:05,161673.0,18.279,4.868,5078,Halil Dervisoglu,1960,,,R,P,B,MIDDLETHIRD,9.0,1,VISIBLE,HIGH,48.878,1.463,-0.1199999999999335,-0.6000000000000005,0.6118823416311217,-0.8999999999979025,-0.9000000000001007,1.2727922061343735
4440,2,4475018,4291031.0,5061.0,10.0,SH,M,119.0,False,9.0,5.034,VISIBLE,22.985,-2.257,0.04,161839,161990,85:14,161839.0,28.887,-8.473,5061,Josh Dasilva,,,201,L,A,G,TOPTHIRD,9.0,1,VISIBLE,HIGH,47.442,-0.424,-0.3899999999999437,-0.4199999999999987,0.5731491952362447,0.9000000000042974,4.9960036108132044e-14,0.9000000000042974
4440,2,4503669,4318054.0,5078.0,21.0,SH,F,119.0,False,1.0,0.0,VISIBLE,18.193,-12.095,0.14,170101,170101,89:45,170101.0,18.193,-12.095,5078,Halil Dervisoglu,,,201,L,A,G,MIDDLETHIRD,9.0,1,VISIBLE,HIGH,50.697,-0.132,1.3799999999999812,2.04,2.4629250902128446,-6.394884621840902e-12,-0.9000000000000075,0.9000000000000075
4440,2,4475579,4291557.0,220.0,10.0,SH,AM,9.0,True,8.0,5.9,ESTIMATED,-34.376,-17.352,0.31,171946,172123,90:52,171946.0,-33.023,-14.82,220,James Maddison,5061,,,R,F,B,MIDDLETHIRD,9.0,1,ESTIMATED,LOW,25.0,-1.932,0.0,-0.05999999999999339,0.05999999999999339,0.0,-0.899999999999701,0.899999999999701
4440,2,4475612,4291586.0,215.0,8.0,SH,CM,9.0,True,2.0,0.7000000000000001,ESTIMATED,-32.841,1.646,1.05,173165,173186,91:28,173165.0,-31.887,2.436,215,Youri Tielemans,,,,R,P,O,MIDDLETHIRD,9.0,1,ESTIMATED,LOW,25.001,1.217,0.0,0.2400000000000002,0.2400000000000002,0.0,0.0,0.0
4440,2,4475758,4291724.0,220.0,10.0,SH,AM,9.0,True,1.0,0.0,VISIBLE,-34.889,3.478,0.5700000000000001,176551,176551,93:20,176551.0,-34.889,3.478,220,James Maddison,5067,,,R,P,B,BOTTOMTHIRD,9.0,1,ESTIMATED,LOW,25.0,-2.278,0.0,0.6599999999999939,0.6599999999999939,0.9000000000010999,-3.9968028886505635e-13,0.9000000000010999
