game_id,period,game_event_id,possession_event_id,player_id,shirt_number,possession_event_type,position_group_type,team_id,home_team,touches,duration,ball_visibility,ball_x_start,ball_y_start,ball_z,start_frame,end_frame,formatted_game_clock,frame_num,ball_x_end,ball_y_end,passerTeamId,passerPlayer,passerPlayerName,targetPlayer,targetPlayerName,incompletion_reason_type,pass_body_type,pass_high_point_type,pass_outcome_type,pass_type,team_id_player_61,shirt_number_player_61,visibility_player_61,confidence_player_61,x_player_61,y_player_61,vx_player_61,vy_player_61,vtot_player_61,ax_player_61,ay_player_61,atot_player_61
4464,1.0,4705603.0,4528368.0,1.0,10.0,PA,CF,17.0,True,1.0,0.0,VISIBLE,-1.084,1.064,0.0,340,340,00:00,340.0,-1.084,1.064,17,1,Harry Kane,395,Pierre-Emile Höjbjerg,,R,G,C,S,17.0,1,ESTIMATED,LOW,38.954,-1.244,0.24000000000008015,0.2699999999999969,0.3612478373638198,0.0,0.0,0.0
4464,1.0,4705605.0,4528370.0,395.0,5.0,PA,CM,17.0,True,2.0,1.001,VISIBLE,9.082,-3.991,0.21,364,389,00:01,364.0,8.758,-3.4050000000000002,17,395,Pierre-Emile Höjbjerg,65,Davinson Sánchez,,R,G,C,S,17.0,1,ESTIMATED,LOW,39.101,-1.056,0.15000000000007674,0.2699999999999969,0.3088689042296446,-0.8999999999915076,-1.9984014443252818e-13,0.8999999999915076
4464,1.0,4705606.0,4528371.0,65.0,6.0,PA,RCB,17.0,True,2.0,1.041,VISIBLE,22.104,13.244,0.26,430,456,00:04,430.0,22.222,13.713,17,65,Davinson Sánchez,74,Eric Dier,,R,G,C,S,17.0,1,ESTIMATED,LOW,39.774,-0.051000000000000004,0.27000000000001023,0.54,0.6037383539249478,-0.8999999999979025,0.9000000000000008,1.2727922061343029
4464,1.0,4705607.0,4528372.0,74.0,15.0,PA,MCB,17.0,True,2.0,1.041,VISIBLE,23.793,-3.688,0.39,499,525,00:07,499.0,23.128,-4.513,17,74,Eric Dier,71,Ben Davies,,R,G,C,S,17.0,1,ESTIMATED,LOW,39.99,0.002,-0.059999999999860165,-0.5700000000000001,0.5731491952362694,6.394884621840902e-12,-0.9000000000000041,0.9000000000000041
4464,1.0,4705608.0,4528373.0,71.0,33.0,PA,LCB,17.0,True,3.0,2.481,VISIBLE,14.656,-22.1,0.12,555,617,00:11,555.0,10.725,-20.369,17,71,Ben Davies,7584,Rodrigo Bentancur,,L,L,C,S,17.0,1,ESTIMATED,LOW,39.284,-1.637,-0.5699999999999505,-0.9300000000000042,1.0907795377618483,-0.8999999999979025,0.899999999999701,1.2727922061340908
4464,1.0,4705609.0,4528374.0,7584.0,30.0,PA,CM,17.0,True,2.0,1.201,VISIBLE,0.462,19.449,0.18,670,700,00:14,670.0,-1.9,22.574,17,7584,Rodrigo Bentancur,1874,Emerson Royal,,R,G,C,S,17.0,1,ESTIMATED,LOW,36.838,-0.81,-1.0499999999998977,1.2899999999999978,1.663309953075427,6.394884621840902e-12,0.8999999999999009,0.8999999999999009
4464,1.0,4705610.0,4528375.0,1874.0,12.0,PA,RWB,17.0,True,2.0,0.68,VISIBLE,-17.002,31.821,0.28,738,755,00:16,738.0,-19.379,31.079,17,1874,Emerson Royal,7583,Dejan Kulusevski,,R,G,C,S,17.0,1,ESTIMATED,LOW,33.402,2.02,-1.2899999999999778,1.200000000000001,1.7618456232031074,0.0,0.0,0.0
4464,1.0,4705613.0,4528377.0,1874.0,12.0,PA,RWB,17.0,True,1.0,0.0,VISIBLE,-36.468,33.443,1.73,1027,1027,00:27,1027.0,-36.468,33.443,17,1874,Emerson Royal,65,Davinson Sánchez,,TWOHANDS,A,C,S,17.0,1,ESTIMATED,LOW,27.005,4.083,-0.4199999999999804,0.12000000000001343,0.43680659335681593,3.197442310920451e-12,7.993605777301127e-13,3.295848094936011e-12
4464,1.0,4705614.0,4528378.0,65.0,6.0,PA,RCB,17.0,True,2.0,1.24,VISIBLE,-10.669,26.251,0.46,1085,1116,00:31,1085.0,-8.436,25.092,17,65,Davinson Sánchez,74,Eric Dier,,R,G,C,S,17.0,1,ESTIMATED,LOW,26.413,3.998,0.0,-0.4800000000000004,0.4800000000000004,0.0,-0.9000000000003006,0.9000000000003006
4464,1.0,4705615.0,4528379.0,74.0,15.0,PA,MCB,17.0,True,1.0,0.0,VISIBLE,1.284,6.707,0.5700000000000001,1155,1155,00:32,1155.0,1.284,6.707,17,74,Eric Dier,71,Ben Davies,,R,L,C,S,17.0,1,ESTIMATED,LOW,27.302,2.142,1.1999999999999744,-1.4100000000000046,1.8515128949051238,1.7999999999990024,0.0,1.7999999999990024
4464,1.0,4705616.0,4528380.0,71.0,33.0,PA,LCB,17.0,True,3.0,2.2800000000000002,VISIBLE,-3.521,-18.201,0.31,1203,1260,00:36,1203.0,-4.421,-22.045,17,71,Ben Davies,395,Pierre-Emile Höjbjerg,,L,G,C,S,17.0,1,ESTIMATED,LOW,29.516,-0.649,1.1999999999999744,-1.6500000000000015,2.0402205763103027,0.0,-9.992007221626409e-14,9.992007221626409e-14
4464,1.0,4705617.0,4528381.0,395.0,5.0,PA,CM,17.0,True,1.0,0.0,VISIBLE,-9.381,-15.302,0.29,1275,1275,00:37,1275.0,-9.381,-15.302,17,395,Pierre-Emile Höjbjerg,83,Heung-min Son,,R,G,C,S,17.0,1,ESTIMATED,LOW,31.178,-3.151,0.4199999999999804,-0.4800000000000004,0.6378087487640663,-0.9000000000010999,0.8999999999999009,1.2727922061364931
4464,1.0,4705618.0,4528382.0,83.0,7.0,PA,LW,17.0,True,1.0,0.0,VISIBLE,-17.185,-17.499,0.25,1295,1295,00:38,1295.0,-17.185,-17.499,17,83,Heung-min Son,395,Pierre-Emile Höjbjerg,,R,L,C,S,17.0,1,ESTIMATED,LOW,31.4,-3.435,0.23999999999997357,-0.42000000000000703,0.483735464897906,-0.9000000000010999,-0.9000000000003006,1.2727922061367758
4464,1.0,4705619.0,4528383.0,395.0,5.0,PA,CM,17.0,True,2.0,0.361,VISIBLE,-10.079,-18.733,0.26,1318,1327,00:39,1318.0,-10.351,-18.905,17,395,Pierre-Emile Höjbjerg,83,Heung-min Son,,R,G,C,S,17.0,1,ESTIMATED,LOW,31.548000000000002,-3.724,0.12000000000004007,-0.27000000000001023,0.29546573405390875,-0.8999999999979025,-3.9968028886505635e-13,0.8999999999979025
4464,1.0,4705623.0,4528388.0,5082.0,4.0,PA,MCB,20.0,False,7.0,4.402,VISIBLE,-28.142,-9.844,0.42,1446,1556,00:48,1446.0,-20.756,-28.617,,,,,,,,,,,17.0,1,ESTIMATED,LOW,30.013,-2.946,0.06000000000007333,-0.3600000000000003,0.3649657518179056,-0.8999999999979025,-0.8999999999999009,1.2727922061342323
4464,1.0,4705625.0,4528391.0,5131.0,1.0,PA,GK,20.0,False,3.0,4.522,VISIBLE,-42.686,-10.169,0.33,1693,1806,00:58,1693.0,-39.391,-5.322,20,5131,José Sá,234,Max Kilman,,R,G,C,S,17.0,1,ESTIMATED,LOW,35.368,-5.106,0.27000000000001023,0.9300000000000175,0.9684007434941581,0.0,7.993605777301127e-13,7.993605777301127e-13
